acao,tiny_id,tiny_codigo,tiny_nome,tipo,preco_tiny,preco_novo,custo_novo,sku_planilha,aba
alterar,334772037,5.1301.0565017,Bomba Hidráulica Ford New Holland CNH A-017 - Série TS6000 -,V,4497.44,3935.26,2392.75,5.1301.0565017.0,02_SOHIPREN
alterar,334772959,5.1301.0565004,Bomba Hidráulica Ford New Holland CNH A-004 - 340/2910/3930/,V,3040.54,2660.47,1585.25,5.1301.0565004.0,02_SOHIPREN
alterar,334772889,5.1301.0565001,Bomba Hidráulica Ford New Holland CNH A-001 - 5600/6600/7600,V,3040.54,2660.47,1585.25,5.1301.0565001.0,02_SOHIPREN
alterar,334772922,5.1301.0565002,Bomba Hidráulica Principal Ford New Holland CNH A-002 - 5610,V,3040.54,2660.47,1585.25,5.1301.0565002.0,02_SOHIPREN
alterar,334772081,5.1301.0565035,Bomba Hidráulica New Holland CNH A-024 - Série T6 - Padrão,V,4773.48,4176.8,2545.75,5.1301.0565035.0,02_SOHIPREN
alterar,334773088,5.1301.0565029,Bomba Hidráulica New Holland TC57 - Colhedeira CNH A-020,N,3224.57,2821.5,1687.25,5.1301.0565029.0,02_SOHIPREN
alterar,349112194,5.0210.L026250.0,BOI 16 B15.B14.A14.D5 24-150 BAR - 5.0210.L026250.0,N,1598.98,1399.11,786.25,5.0210.L026250.0,02_SOHIPREN
alterar,349112199,5.0209.L026780.0,BOI 19 B15.B14.B19.D5 - 24-150 BAR - 5.0209.L026780.0,N,1552.97,1358.85,760.75,5.0209.L026780.0,02_SOHIPREN
alterar,349112203,5.1621.0670036.1,MOTOR MLSW 395 - JOHN DEERE CB11480557 - 5.1621.0670036.1,N,2921.7,2556.49,1519.38,5.1621.0670036.1,02_SOHIPREN
alterar,349112207,5.1621.0670037.1,MOTOR MLSW 80 - JOHN DEERE CB11480555 - 5.1621.0670037.1,N,2503.34,2190.42,1287.5,5.1621.0670037.1,02_SOHIPREN
alterar,349112211,5.1621.0670038.1,MOTOR MLSW 305 - JOHN DEERE CB11480558 - 5.1621.0670038.1,N,2823.85,2470.87,1465.15,5.1621.0670038.1,02_SOHIPREN
alterar,349112216,5.1621.0670039.1,MOTOR MLSW 395 - JOHN DEERE CB11480559 - 5.1621.0670039.1,N,2833.51,2479.32,1470.5,5.1621.0670039.1,02_SOHIPREN
alterar,349112220,5.1621.0670040.1,MOTOR MLSW 495 - JOHN DEERE CB11480560 - 5.1621.0670040.1,N,2956.19,2586.67,1538.5,5.1621.0670040.1,02_SOHIPREN
