aba,linha,sku,sku_shopify,tipo,kit_n,caixa,peso_kg,invoice,cotacoes,escolhida,frete_antigo,frete_novo,obs
03_AGCO,31,7038105M1,7038105M1-KIT60,kit,60,20.0x32.0x45.0,6.0,236.4,Jadlog Jadlog Package: R$32.09 (8d) | Correios PAC: R$47.45 (7d) | Correios Sedex: R$84.37 (3d),Jadlog Jadlog Package,,32.09,
03_AGCO,32,7038106M1,7038106M1,rateio caixa 60,1,8.5x10.0x3.8,0.1,3.94,Correios Mini Envios: R$14.87 (10d) | Jadlog Jadlog Package: R$16.74 (8d) | Correios PAC: R$18.95 (7d) | Correios Sedex: R$38.41 (3d),Correios Mini Envios → R$32.09/60,18.5,0.53,
03_AGCO,33,7038106M1,7038106M1-KIT60,kit,60,20.0x32.0x45.0,6.0,236.4,Jadlog Jadlog Package: R$32.09 (8d) | Correios PAC: R$47.45 (7d) | Correios Sedex: R$84.37 (3d),Jadlog Jadlog Package,,32.09,
03_AGCO,34,ACX5458940,ACX5458940,rateio caixa 40,1,13.0x14.0x13.2,0.16,8.64,Jadlog Jadlog Package: R$16.74 (8d) | Correios PAC: R$21.05 (7d) | Correios Sedex: R$39.42 (3d),Jadlog Jadlog Package → R$72.41/40,19.5,1.81,
03_AGCO,35,ACX5458940,ACX5458940-KIT40,kit,40,35.0x40.0x60.0,6.4,345.6,Jadlog Jadlog Package: R$72.41 (8d) | Correios PAC: R$102.47 (7d) | Correios Sedex: R$165.50 (3d),Jadlog Jadlog Package,,72.41,
03_AGCO,36,ACX3601860,ACX3601860,rateio caixa 60,1,8.8x13.0x3.0,0.12,9.57,Correios Mini Envios: R$14.87 (10d) | Jadlog Jadlog Package: R$16.74 (8d) | Correios PAC: R$18.95 (7d) | Correios Sedex: R$38.41 (3d),Correios Mini Envios → R$40.99/60,18.5,0.68,
03_AGCO,37,ACX3601860,ACX3601860-KIT60,kit,60,30.0x30.0x45.0,7.199999999999999,574.2,Jadlog Jadlog Package: R$40.99 (8d) | Correios PAC: R$65.33 (7d) | Correios Sedex: R$99.79 (3d),Jadlog Jadlog Package,,40.99,
03_AGCO,38,4383933M4,4383933M4,rateio caixa 10,1,3.0x12.5x8.0,0.19,20.01,Jadlog Jadlog Package: R$16.74 (8d) | Correios PAC: R$18.95 (7d) | Correios Sedex: R$38.41 (3d),Jadlog Jadlog Package → R$20.77/10,18.5,2.08,
03_AGCO,39,4383933M4,4383933M4-KIT10,kit,10,35.0x15.0x10.0,1.9,200.10000000000002,Jadlog Jadlog Package: R$20.77 (8d) | Correios PAC: R$26.47 (7d) | Correios Sedex: R$50.57 (3d),Jadlog Jadlog Package,,20.77,
03_AGCO,40,4383934M4,4383934M4,rateio caixa 10,1,3.0x12.5x8.0,0.19,20.01,Jadlog Jadlog Package: R$16.74 (8d) | Correios PAC: R$18.95 (7d) | Correios Sedex: R$38.41 (3d),Jadlog Jadlog Package → R$20.77/10,18.5,2.08,
03_AGCO,41,4383934M4,4383934M4-KIT10,kit,10,35.0x15.0x10.0,1.9,200.10000000000002,Jadlog Jadlog Package: R$20.77 (8d) | Correios PAC: R$26.47 (7d) | Correios Sedex: R$50.57 (3d),Jadlog Jadlog Package,,20.77,
03_AGCO,42,ACX3473430,ACX3473430,rateio caixa 40,1,10.0x10.0x2.5,0.08,5.46,Correios Mini Envios: R$14.87 (10d) | Jadlog Jadlog Package: R$16.74 (8d) | Correios PAC: R$18.95 (7d) | Correios Sedex: R$38.41 (3d),Correios Mini Envios → R$26.20/40,18.5,0.66,
03_AGCO,43,ACX3473430,ACX3473430-KIT40,kit,40,22.0x22.0x35.0,3.2,218.4,Jadlog Jadlog Package: R$26.20 (8d) | Correios PAC: R$39.11 (7d) | Correios Sedex: R$66.02 (3d),Jadlog Jadlog Package,,26.2,
03_AGCO,44,ACX329796A,ACX329796A,unit,1,14.0x52.5x52.5,1.85,85.45,Jadlog Jadlog Package: R$37.07 (8d) | Correios PAC: R$65.33 (7d) | Correios Sedex: R$99.79 (3d),Jadlog Jadlog Package,30.52,37.07,
03_AGCO,45,33070004,33070004,rateio caixa 25,1,6.7x6.7x47.5,0.14,6.44,Jadlog Jadlog Package: R$16.74 (8d) | Correios PAC: R$21.05 (7d) | Correios Sedex: R$39.42 (3d),Jadlog Jadlog Package → R$66.85/25,19.05,2.67,
03_AGCO,46,33070004,33070004-KIT25,kit,25,40.0x40.0x50.0,3.5000000000000004,161.0,Jadlog Jadlog Package: R$66.85 (8d) | Correios PAC: R$102.47 (7d) | Correios Sedex: R$165.50 (3d),Jadlog Jadlog Package,,66.85,
03_AGCO,47,6237989M1,6237989M1,rateio caixa 10,1,10.9x9.4x9.2,0.132,26.46,Jadlog Jadlog Package: R$16.74 (8d) | Correios PAC: R$18.95 (7d) | Correios Sedex: R$38.41 (3d),Jadlog Jadlog Package → R$25.01/10,,2.5,
03_AGCO,48,6237989M1,6237989M1-KIT10,kit,10,17.0x35.0x22.0,1.32,264.6,Jadlog Jadlog Package: R$25.01 (8d) | Correios PAC: R$30.50 (7d) | Correios Sedex: R$60.61 (3d),Jadlog Jadlog Package,30.0,25.01,
03_AGCO,49,ACX363311C,ACX363311C-KIT25,kit,25,45.0x32.0x7.5,4.75,207.75,Jadlog Jadlog Package: R$27.80 (8d) | Correios PAC: R$40.96 (7d) | Correios Sedex: R$79.84 (3d),Jadlog Jadlog Package,18.5,27.8,
03_AGCO,50,ACX363311B,ACX363311B-KIT25,kit,25,45.0x32.0x7.5,4.75,207.75,Jadlog Jadlog Package: R$27.80 (8d) | Correios PAC: R$40.96 (7d) | Correios Sedex: R$79.84 (3d),Jadlog Jadlog Package,18.5,27.8,
03_AGCO,51,ACX3601860,ACX3601860-KIT25,kit,25,30.0x30.0x18.8,3.0,239.25,Jadlog Jadlog Package: R$24.81 (8d) | Correios PAC: R$30.50 (7d) | Correios Sedex: R$60.61 (3d),Jadlog Jadlog Package,18.5,24.81,
05_JOHN_DEERE,6,H-102724,H-102724,rateio caixa 50,1,26.5x2.0x2.0,0.074,5.0,Jadlog Jadlog Package: R$16.74 (8d) | Correios PAC: R$18.95 (7d) | Correios Sedex: R$38.41 (3d),Jadlog Jadlog Package → R$26.47/50,,0.53,
05_JOHN_DEERE,7,H-102724,H-102724-KIT50,kit,50,30.0x22.0x12.0,3.6999999999999997,250.0,Jadlog Jadlog Package: R$26.47 (8d) | Correios PAC: R$39.11 (7d) | Correios Sedex: R$66.02 (3d),Jadlog Jadlog Package,,26.47,
05_JOHN_DEERE,8,H-169914,H-169914,rateio caixa 50,1,28.0x1.5x1.5,0.084,5.0,Jadlog Jadlog Package: R$16.74 (8d) | Correios PAC: R$18.95 (7d) | Correios Sedex: R$38.41 (3d),Jadlog Jadlog Package → R$28.15/50,,0.56,
05_JOHN_DEERE,9,H-169914,H-169914-KIT50,kit,50,30.0x22.0x12.0,4.2,250.0,Jadlog Jadlog Package: R$28.15 (8d) | Correios PAC: R$40.96 (7d) | Correios Sedex: R$79.84 (3d),Jadlog Jadlog Package,,28.15,
05_JOHN_DEERE,10,H-175727,H-175727,rateio caixa 50,1,2.5x8.4x3.0,0.02,2.9,Correios Mini Envios: R$14.87 (10d) | Jadlog Jadlog Package: R$16.74 (8d) | Correios PAC: R$18.95 (7d) | Correios Sedex: R$38.41 (3d),Correios Mini Envios → R$18.26/50,,0.37,
05_JOHN_DEERE,11,H-175727,H-175727-KIT50,kit,50,30.0x10.0x18.0,1.0,145.0,Jadlog Jadlog Package: R$18.26 (8d) | Correios PAC: R$22.30 (7d) | Correios Sedex: R$40.43 (3d),Jadlog Jadlog Package,,18.26,
05_JOHN_DEERE,12,KK31823,KK31823-KIT25,kit,25,33.6x38.0x4.0,4.375,180.0,Jadlog Jadlog Package: R$27.57 (8d) | Correios PAC: R$40.96 (7d) | Correios Sedex: R$79.84 (3d),Jadlog Jadlog Package,,27.57,
05_JOHN_DEERE,13,KK31824,KK31824-KIT25,kit,25,33.4x27.0x4.0,,120.0,Jadlog Jadlog Package: R$18.05 (8d) | Correios PAC: R$22.30 (7d) | Correios Sedex: R$40.43 (3d),Jadlog Jadlog Package,,18.05,
05_JOHN_DEERE,14,KK31825,KK31825-KIT25,kit,25,33.0x16.2x4.0,,100.0,Jadlog Jadlog Package: R$16.74 (8d) | Correios PAC: R$21.05 (7d) | Correios Sedex: R$39.42 (3d),Jadlog Jadlog Package,,16.74,
05_JOHN_DEERE,16,N276747,N276747,rateio caixa 25,1,7.9x8.6x7.9,0.047,9.9,Jadlog Jadlog Package: R$16.74 (8d) | Correios PAC: R$18.95 (7d) | Correios Sedex: R$38.41 (3d),Jadlog Jadlog Package → R$26.44/25,,1.06,
05_JOHN_DEERE,17,N276747,N276747-KIT25,kit,25,45.0x10.0x45.0,1.175,247.5,Jadlog Jadlog Package: R$26.44 (8d) | Correios PAC: R$39.11 (7d) | Correios Sedex: R$66.02 (3d),Jadlog Jadlog Package,,26.44,
05_JOHN_DEERE,18,A56254,A56254,unit,1,61.9x61.9x4.1,0.22,65.0,Jadlog Jadlog Package: R$23.66 (8d) | Correios PAC: R$30.50 (7d) | Correios Sedex: R$60.61 (3d),Jadlog Jadlog Package,,23.66,
05_JOHN_DEERE,19,CQ59313,CQ59313,unit,1,11.2x20.0x13.6,0.26,27.0,Jadlog Jadlog Package: R$17.89 (8d) | Correios PAC: R$22.30 (7d) | Correios Sedex: R$40.43 (3d),Jadlog Jadlog Package,,17.89,
05_JOHN_DEERE,20,CQ65827,CQ65827,rateio caixa 50,1,9.0x33.0x6.5,0.09,4.1,Jadlog Jadlog Package: R$16.74 (8d) | Correios PAC: R$21.05 (7d) | Correios Sedex: R$39.42 (3d),Jadlog Jadlog Package → R$98.23/50,,1.96,
05_JOHN_DEERE,21,CQ65827,CQ65827-KIT50,kit,50,50.0x35.0x70.0,4.5,204.99999999999997,Jadlog Jadlog Package: R$98.23 (8d) | Correios PAC: R$161.90 (7d) | Correios Sedex: R$261.54 (3d),Jadlog Jadlog Package,,98.23,
05_JOHN_DEERE,22,CQ54137,CQ54137,rateio caixa 50,1,22.0x7.0x6.0,0.075,4.5,Jadlog Jadlog Package: R$16.74 (8d) | Correios PAC: R$18.95 (7d) | Correios Sedex: R$38.41 (3d),Jadlog Jadlog Package → R$59.27/50,,1.19,
05_JOHN_DEERE,23,CQ54137,CQ54137-KIT50,kit,50,50.0x40.0x35.0,3.75,225.0,Jadlog Jadlog Package: R$59.27 (8d) | Correios PAC: R$85.49 (7d) | Correios Sedex: R$138.06 (3d),Jadlog Jadlog Package,,59.27,
05_JOHN_DEERE,24,AA67780,AA67780,rateio caixa 10,1,12.0x5.0x50.0,,19.5,Jadlog Jadlog Package: R$16.74 (8d) | Correios PAC: R$21.05 (7d) | Correios Sedex: R$39.42 (3d),Jadlog Jadlog Package → R$34.89/10,,3.49,
05_JOHN_DEERE,25,AA67780,AA67780-KIT10,kit,10,12.0x50.0x50.0,,195.0,Jadlog Jadlog Package: R$34.89 (8d) | Correios PAC: R$50.71 (7d) | Correios Sedex: R$89.67 (3d),Jadlog Jadlog Package,,34.89,
05_JOHN_DEERE,26,CQ73378,CQ73378-KIT30,kit,30,38.0x30.0x60.0,4.35,140.1,Jadlog Jadlog Package: R$58.56 (8d) | Correios PAC: R$85.49 (7d) | Correios Sedex: R$138.06 (3d),Jadlog Jadlog Package,,58.56,
05_JOHN_DEERE,27,A75169,A75169,rateio caixa 50,1,6.0x7.0x6.0,0.045,4.5,Jadlog Jadlog Package: R$16.74 (8d) | Correios PAC: R$18.95 (7d) | Correios Sedex: R$38.41 (3d),Jadlog Jadlog Package → R$26.26/50,,0.53,
05_JOHN_DEERE,28,A75169,A75169-KIT50,kit,50,35.0x16.0x35.0,2.25,225.0,Jadlog Jadlog Package: R$26.26 (8d) | Correios PAC: R$39.11 (7d) | Correios Sedex: R$66.02 (3d),Jadlog Jadlog Package,,26.26,
05_JOHN_DEERE,29,A71321,A71321,rateio caixa 50,1,9.5x7.5x7.5,0.039,4.5,Jadlog Jadlog Package: R$16.74 (8d) | Correios PAC: R$18.95 (7d) | Correios Sedex: R$38.41 (3d),Jadlog Jadlog Package → R$31.99/50,,0.64,
05_JOHN_DEERE,30,A71321,A71321-KIT50,kit,50,20.0x40.0x40.0,1.95,225.0,Jadlog Jadlog Package: R$31.99 (8d) | Correios PAC: R$47.45 (7d) | Correios Sedex: R$84.37 (3d),Jadlog Jadlog Package,,31.99,
05_JOHN_DEERE,31,A72758,A72758,rateio caixa 50,1,7.0x10.0x1.5,0.019,5.6,Correios Mini Envios: R$14.87 (10d) | Jadlog Jadlog Package: R$16.74 (8d) | Correios PAC: R$18.95 (7d) | Correios Sedex: R$38.41 (3d),Correios Mini Envios → R$21.43/50,,0.43,
05_JOHN_DEERE,32,A72758,A72758-KIT50,kit,50,15.0x12.0x40.0,0.95,280.0,Jadlog Jadlog Package: R$21.43 (8d) | Correios PAC: R$26.47 (7d) | Correios Sedex: R$50.57 (3d),Jadlog Jadlog Package,,21.43,
05_JOHN_DEERE,33,A78269,A78269,unit,1,81.5x81.5x9.0,2.6,189.0,Jadlog Jadlog Package: R$40.88 (8d) | Correios PAC: R$90.89 (7d) | Correios Sedex: R$133.00 (3d),Jadlog Jadlog Package,,40.88,
05_JOHN_DEERE,34,A74430,A74430,rateio caixa 10,1,13.0x8.0x7.0,0.097,15.0,Jadlog Jadlog Package: R$16.74 (8d) | Correios PAC: R$18.95 (7d) | Correios Sedex: R$38.41 (3d),Jadlog Jadlog Package → R$20.35/10,,2.04,
05_JOHN_DEERE,35,A74430,A74430-KIT10,kit,10,15.0x10.0x70.0,0.97,150.0,Jadlog Jadlog Package: R$20.35 (8d) | Correios PAC: R$26.47 (7d) | Correios Sedex: R$50.57 (3d),Jadlog Jadlog Package,,20.35,
05_JOHN_DEERE,37,KK31823,KK31823-KIT50,kit,50,37.0x40.0x10.0,8.75,360.0,Jadlog Jadlog Package: R$41.02 (8d) | Correios PAC: R$67.18 (7d) | Correios Sedex: R$105.19 (3d),Jadlog Jadlog Package,,41.02,
05_JOHN_DEERE,39,KK31824,KK31824-KIT50,kit,50,37.0x32.0x10.0,,240.0,Jadlog Jadlog Package: R$21.10 (8d) | Correios PAC: R$26.47 (7d) | Correios Sedex: R$50.57 (3d),Jadlog Jadlog Package,,21.1,
06_STARA,6,6424-4005,6424-4005,rateio caixa 50,1,9.0x4.5x25.0,0.008,3.9744,Jadlog Jadlog Package: R$16.74 (8d) | Correios PAC: R$18.95 (7d) | Correios Sedex: R$38.41 (3d),Jadlog Jadlog Package → R$24.48/50,,0.49,
06_STARA,7,6424-4005,6424-4005-KIT50,kit,50,40.0x15.0x28.0,0.4,198.72,Jadlog Jadlog Package: R$24.48 (8d) | Correios PAC: R$30.50 (7d) | Correios Sedex: R$60.61 (3d),Jadlog Jadlog Package,,24.48,
06_STARA,8,6117-4170,6117-4170,unit,1,0.0x0.0x0.0,,1.903986,,,,25.0,sem peso/dims → default
06_STARA,9,6424-4004,6424-4004,unit,1,0.0x0.0x0.0,,32.19264,,,,25.0,sem peso/dims → default
06_STARA,10,8031-4009,8031-4009,unit,1,39.5x89.4x25.6,4.1,156.90996,Jadlog Jadlog Package: R$75.61 (8d) | Correios PAC: R$141.83 (7d) | Correios Sedex: R$215.32 (3d),Jadlog Jadlog Package,,75.61,
06_STARA,11,6424-4028,6424-4028,unit,1,8.5x9.5x8.2,0.061,6.47082,Jadlog Jadlog Package: R$16.74 (8d) | Correios PAC: R$18.95 (7d) | Correios Sedex: R$38.41 (3d),Jadlog Jadlog Package,,16.74,
06_STARA,12,6424-4026,6424-4026,rateio caixa 50,1,6.2x6.2x6.6,0.031,3.96198,Jadlog Jadlog Package: R$16.74 (8d) | Correios PAC: R$18.95 (7d) | Correios Sedex: R$38.41 (3d),Jadlog Jadlog Package → R$26.04/50,,0.52,
06_STARA,13,6424-4026,6424-4026-KIT50,kit,50,35.0x35.0x15.0,1.55,198.099,Jadlog Jadlog Package: R$26.04 (8d) | Correios PAC: R$39.11 (7d) | Correios Sedex: R$66.02 (3d),Jadlog Jadlog Package,,26.04,
06_STARA,14,8031-4010,8031-4010,unit,1,24.0x84.0x35.8,4.1,160.38,Jadlog Jadlog Package: R$62.78 (8d) | Correios PAC: R$116.36 (7d) | Correios Sedex: R$174.16 (3d),Jadlog Jadlog Package,,62.78,
06_STARA,15,6426-1113,6426-1113,unit,1,0.0x0.0x0.0,,3.5397,,,,25.0,sem peso/dims → default
06_STARA,16,6445-4035,6445-4035,unit,1,0.0x0.0x0.0,,0.5589,,,,25.0,sem peso/dims → default
