acao,aba,linha,sku_shopify,titulo_novo,custo,frete,marg,preco_novo,preco_site,delta_pct,body_site_len
update,04_GRECO,14,GR142228,"Sensor de Fluxo 50,8mm — Greco Agro Tech | Precision Planting PM400",360.0,27.37,0.2,611.53,611.53,0.0,589
update,04_GRECO,15,GR142229,Sensor de Semente — Greco Agro Tech | Precision Planting PM400,140.0,25.55,0.2,261.35,261.35,0.0,611
update,03_AGCO,6,ACX3266690,Suporte do Dosador — AGCO ACX3266690 | Plantadeira Momentum,100.96,16.75,0.2,185.83,185.83,0.0,971
update,03_AGCO,7,ACW0551840,Condutor de Sementes para Sensor — AGCO ACW0551840,9.15,2.21,0.2,17.93,17.93,0.0,1010
update,03_AGCO,8,ACW0551840-KIT25,Condutor Sementes P/sensor — Kit 25 Unidades — AGCO ACW0551840,228.75,55.23,0.2,448.31,448.31,0.0,975
update,03_AGCO,9,ACX2865730-KIT60,Tampa do Modulo SRM — Kit 60 Unidades — AGCO ACX2865730,601.1999999999999,105.71,0.2,1115.99,1115.99,0.0,961
update,03_AGCO,11,ACX3454710,Conjunto Montado Reservatório de Sementes Mecânico — AGCO ACX3454710,35.74,40.06,0.2,119.66,119.66,0.0,938
update,03_AGCO,13,ACX2719210,CJ Montado Joelho — AGCO ACX2719210,13.81,1.12,0.2,23.57,23.57,0.0,830
update,03_AGCO,14,ACX2719210-KIT30,CJ Montado Joelho — Kit 30 Unidades — AGCO ACX2719210,414.3,33.55,0.2,707.01,707.01,0.0,956
update,03_AGCO,15,4383927M4,Dobradiça Esquerda Inferior — Massey Ferguson 4383927M4,20.01,2.08,0.2,34.87,34.87,0.0,895
update,03_AGCO,16,4383927M4-KIT10,Dobradiça Esquerda Inferior — Kit 10 Unidades — AGCO 4383927M4,200.10000000000002,20.77,0.2,348.68,348.68,0.0,964
update,03_AGCO,17,ACX283890A,Vedação Tubo de Ar — AGCO ACX283890A | Sistema Pneumático,20.14,2.08,0.2,35.08,35.08,0.0,923
update,03_AGCO,18,ACX283890A-KIT10,Vedação Tubo de Ar — Kit 10 Unidades — AGCO ACX283890A,201.4,20.78,0.2,350.75,350.75,0.0,958
update,03_AGCO,19,ACX310603A,Manípulo Pneumático — AGCO ACX310603A,4.53,0.49,0.2,7.92,7.92,0.0,738
update,03_AGCO,20,ACX310603A-KIT50,Manipulo Pneumatico — Kit 50 Unidades — AGCO ACX310603A,226.5,24.71,0.2,396.58,396.58,0.0,960
update,03_AGCO,21,4383923M4,Dobradiça Esquerda Superior — Massey Ferguson 4383923M4,20.01,16.74,0.2,58.02,58.02,0.0,809
update,03_AGCO,22,ACX363311C,Copo Venturi C — AGCO ACX363311C | Dosador Pneumático,8.31,1.03,0.2,14.74,14.74,0.0,943
update,03_AGCO,23,ACX363311C-KIT60,Copo Venturi C — Kit 60 Unidades — AGCO ACX363311C,498.6,61.52,0.2,884.25,884.25,0.0,951
update,03_AGCO,24,ACX363311B,Copo Venturi B — AGCO ACX363311B | Dosador Pneumático,8.31,1.03,0.2,14.74,14.74,0.0,1080
update,03_AGCO,25,ACX363311B-KIT60,Copo Venturi B — Kit 60 Unidades — AGCO ACX363311B,498.6,61.52,0.2,884.25,884.25,0.0,951
update,03_AGCO,26,ACX2414460,Conjunto Adaptador de Vácuo — AGCO ACX2414460,9.02,1.38,0.2,16.42,16.42,0.0,869
